ID,nombre,subnombre,direccion,provincia,localidad,barrio,CP,gmaps,tel,estado,foto,album,red1,red2,www,capacidad,cantcanillas,pizzarraON,cervezapropia,cerveceriasamigas
1,Hormiga Negra,,Av. Sir Alexander Fleming 899 ,Buenos Aires ,MARTINEZ,,,,,,,,,,https://www.hormiganegra.com.ar/ ,,,,SI,Lumpen Suburbier Aldea GRUNGE BULLER
2,Hormiga Negra,,Av. Directorio 843 ,Buenos Aires ,CABA ,CABALLITO,,,,,,,,,https://www.hormiganegra.com.ar/ ,,,,SI,
3,Hormiga Negra,,Del Valle Iberlucea 2675 ,Buenos Aires ,Lanús Oeste ,,,,,,,,,,https://www.hormiganegra.com.ar/ ,,,,SI,
4,Hormiga Negra,,Sargento Cabral 1164 ,Buenos Aires ,San Miguel ,,,,,,,,,,https://www.hormiganegra.com.ar/ ,,,,SI,
5,Hormiga Negra,,Amenábar 2363 ,Buenos Aires ,CABA ,Belgrano ,,,,,,,,,https://www.hormiganegra.com.ar/ ,,,,SI,
6,Hormiga Negra,,Jaramillo 2596 ,Buenos Aires ,CABA ,NUÑEZ,,,,,,,,,https://www.hormiganegra.com.ar/ ,,,,SI,
7,Hormiga Negra,,Av. Maipú 3702 ,Buenos Aires ,Olivos ,,,,,,,,,,https://www.hormiganegra.com.ar/ ,,,,SI,
8,Hormiga Negra,,Mariano Moreno 4779 ,Buenos Aires ,Caseros ,,,,,,,,,,https://www.hormiganegra.com.ar/ ,,,,SI,
9,BAUM, CITY BELL,Calle 13C nº 385,,LA PLATA,,,,,,http://cervezabaum.com/images/locales/citybell/miniatura-citybell.jpg,,https://www.facebook.com/baumcitybell/,http://cervezabaum.com/images/instagram.png,,,,,,
10,BAUM,SAN TELMO,"Av. Belgrano, esq. Pasaje 5 de Julio ",,,SAN TELMO,,,,,http://cervezabaum.com/images/locales/santelmo/miniaturasantelmo.jpg,,https://www.facebook.com/baumsantelmo/,,,,,,,
11,BAUM,GESELL,Av. Buenos Aires 1188,BUENOS AIRES ,Villa Gesell,,,,,,http://cervezabaum.com/images/locales/miniatura-gesell.jpg,,,,,,,,,
12,BAUM, COCHABAMBA,Cochabamba 1332,,ROSARIO ,,,,,,,,,,,,,,,
13,BAUM, ALVARADO,Alvarado 2620,,MAR DEL PLATA,,,,,,,,,,,,,,,
14,BAUM ,PLAYA GRANDE,Bernardo de Irigoyen 3819,,MAR DEL PLATA,,,,,,,,,,,,,,,
